Gender,Class,Event,Round,Rank,Athlete,Team,Mark,DQRule,Points,Wind,Leg1,Leg2,Leg3,Leg4
Boys,Class 1,Long Jump,Preliminaries,1,Wayne Pinnock,Kingston College,7.32mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,2,Alexander Thompson,Calabar High,7.31mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,3,Owayne Owens,Cornwall College,7.03mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,4,Ashane Beckford,Glenmuir High,6.99mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,5,Kavouhn Lewars-smith,Ardenne High,6.75m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,6,Paketo Dudley,Jamaica College,6.72m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,7,Robert Ewart,Godfrey Stewart,6.69m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,8,Kimar Ormsby,Buff Bay High,6.58m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,9,Joshua Smikle,Wolmer's Boys School,6.53m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,9,Miguel Alexander,Petersfield High,6.53m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,11,Kirkland Morrison,St. Catherine High,6.44m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,12,Swayne Murray,St. Andrew Tech,6.38m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,13,Tajdre Stevens,Herbert Morrison,6.34m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,14,Chevaughn Parkins,Titchfield High,6.22m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,--,Malik Issacs,Mannings High,FOUL,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,1,Safin Wills,Jamaica College,7.32mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,2,Tevin Thompson,Excelsior High,7.08mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,3,Daniel Bogle,Wolmer's Boys School,7.05mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,4,Daniel Allen,Calabar High,7.03mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,4,Shacquille Lowe,Kingston College,7.03mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,6,Micheal Buchanan,Steths,6.99mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,6,Ansel Gray,Petersfield High,6.99mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,6,Derrico Morrison,St. Jago High,6.99mq,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,9,Akeem Bailey,Buff Bay High,6.79m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,10,Jahville Henningham,St. James High,6.76m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,11,Kymonie Matthews,St. George's,6.71m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,12,David Tomlinson,Green Island High,6.50m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,13,Dwight Salter,Bellefield High,6.46m,,0.0,,,,,
Boys,Class 1,Long Jump,Preliminaries,14,Daniel Thompson,Ardenne High,6.17m,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Alexia Austin,Glengoffe High,11.29Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Asharria Ulett,St. Catherine High,11.35Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Danae Butler,Mount Alvernia High,11.76,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Euvia Bennett,Newell High,11.80,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Tavia Swaby,Merl Grove High,12.18,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,6,Shana Terrelonge,The Queens School,12.20,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,7,Anaiyah Fullerton,Manchester High,12.51,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Stephanie Griffith,Hydel High,10.91Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,2,Seanna-gaye Leslie,St. Jago High,11.02Q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,3,Nesia Hinds,Holmwood Technical High,11.44q,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,4,Alexia Beckford,Manchester High,11.77,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,5,Arianna Green,Mona High,11.85,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,6,K'Onie Mcdermott,Merl Grove High,12.77,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,7,Natesha Cox,Mannings High,13.40,,0.0,,,,,
Girls,Class 4,70 Meter Hurdles,Preliminaries,1,Quaycian Davis,St. Jago High,11.18Q,,0.0,,,,,
