Team,Points
Edwin Allen High,326.0
Holmwood Technical High,287.0
Hydel High,277.0
St. Jago High,180.0
Vere Technical High,106.5
Excelsior High,103.5
Manchester High,53.0
Petersfield High,51.0
Rusea's High,46.5
The Queens School,39.5
Wolmer's Girls School,38.5
Immaculate Conception High,37.0
Spaldings High,37.0
St. Catherine High,35.0
Steths,31.0
Mount Alvernia High,19.0
St. Andrew,18.5
Campion College,15.0
Camperdown High,11.0
Bellefield High,10.0
Wolmer's High School,10.0
Ardenne High,9.0
Herbert Morrison,9.0
St. Mary High,6.0
Mannings High,5.0
Lacovia High,4.0
Buff Bay High,3.0
St. Hugh's High,3.0
Titchfield High,3.0
Bridgeport High,2.0
Clarendon College,2.0
Dinthill,2.0
Montego Bay High,2.0
Alpha,1.0
Gaynstead High,1.0
