Class,Event,Athlete,Round,Rank,Mark,Points,Wind
Class 1,100 Meter Dash,Michael Stephens,Preliminaries,1,10.48Q,0.0,
Class 1,100 Meter Dash,Michael Stephens,Semi-Finals,2,10.46Q,0.0,
Class 1,100 Meter Dash,Michael Stephens,Finals,--,DNF,0.0,
Class 1,100 Meter Dash,Tyreke Wilson,Preliminaries,1,10.51Q,0.0,
Class 1,100 Meter Dash,Tyreke Wilson,Semi-Finals,1,10.39Q,0.0,
Class 1,100 Meter Dash,Tyreke Wilson,Finals,1,10.21,9.0,
Class 1,110 Meter Hurdles,Dejour Russell,Preliminaries,1,13.37Q,0.0,
Class 1,110 Meter Hurdles,Dejour Russell,Finals,1,13.10R,9.0,-0.8
Class 1,110 Meter Hurdles,Orlando Bennett,Preliminaries,1,13.71Q,0.0,
Class 1,110 Meter Hurdles,Orlando Bennett,Finals,2,13.30,7.0,-0.8
Class 1,1500 Meter Run,Javon-taye Williams,Preliminaries,1,4:04.85Q,0.0,
Class 1,1500 Meter Run,Javon-taye Williams,Finals,1,3:55.43,9.0,
Class 1,1500 Meter Run,Kimar Farquharson,Preliminaries,4,4:10.68Q,0.0,
Class 1,1500 Meter Run,Kimar Farquharson,Finals,3,3:58.33,6.0,
Class 1,200 Meter Dash,Anthony Carpenter,Preliminaries,1,20.94Q,0.0,
Class 1,200 Meter Dash,Anthony Carpenter,Semi-Finals,1,20.57Q,0.0,
Class 1,200 Meter Dash,Anthony Carpenter,Finals,2,20.92,7.0,0.0
Class 1,200 Meter Dash,Christopher Taylor,Preliminaries,1,21.61Q,0.0,
Class 1,200 Meter Dash,Christopher Taylor,Semi-Finals,1,20.52Q,0.0,
Class 1,200 Meter Dash,Christopher Taylor,Finals,1,20.35,9.0,0.0
Class 1,400 Meter Dash,Anthony Carpenter,Preliminaries,1,48.17Q,0.0,
Class 1,400 Meter Dash,Anthony Carpenter,Semi-Finals,2,45.91Q,0.0,
Class 1,400 Meter Dash,Anthony Carpenter,Finals,2,45.47,7.0,
Class 1,400 Meter Dash,Shemar Chambers,Preliminaries,2,47.36Q,0.0,
Class 1,400 Meter Dash,Shemar Chambers,Semi-Finals,1,46.60Q,0.0,
Class 1,400 Meter Dash,Shemar Chambers,Finals,4,46.18,5.0,
Class 1,400 Meter Hurdles,Malik James-king,Preliminaries,1,52.30Q,0.0,
Class 1,400 Meter Hurdles,Malik James-king,Finals,2,50.03,7.0,
Class 1,400 Meter Hurdles,Nicquaine Henry,Preliminaries,4,58.41,0.0,
Class 1,4x100 Meter Relay,Anthony Carpenter,Preliminaries,1,39.49Q,0.0,
Class 1,4x100 Meter Relay,Anthony Carpenter,Finals,1,39.17,12.0,
Class 1,4x100 Meter Relay,Christopher Taylor,Preliminaries,1,39.49Q,0.0,
Class 1,4x100 Meter Relay,Christopher Taylor,Finals,1,39.17,12.0,
Class 1,4x100 Meter Relay,Dejour Russell,Preliminaries,1,39.49Q,0.0,
Class 1,4x100 Meter Relay,Dejour Russell,Finals,1,39.17,12.0,
Class 1,4x100 Meter Relay,Rosean Young,Preliminaries,1,39.49Q,0.0,
Class 1,4x100 Meter Relay,Rosean Young,Finals,1,39.17,12.0,
Class 1,800 Meter Run,Javon-taye Williams,Preliminaries,1,1:56.15Q,0.0,
Class 1,800 Meter Run,Javon-taye Williams,Semi-Finals,1,1:52.69Q,0.0,
Class 1,800 Meter Run,Javon-taye Williams,Finals,7,1:54.90,2.0,
Class 1,800 Meter Run,Kimar Farquharson,Preliminaries,1,1:58.43Q,0.0,
Class 1,800 Meter Run,Kimar Farquharson,Semi-Finals,1,1:53.10Q,0.0,
Class 1,800 Meter Run,Kimar Farquharson,Finals,3,1:50.81,6.0,
Class 1,Discus Throw,Deandre Leith,Preliminaries,6,47.82mq,0.0,
Class 1,Discus Throw,Deandre Leith,Finals,7,52.62m,2.0,
Class 1,Discus Throw,Kai Chang,Preliminaries,1,56.04mq,0.0,
Class 1,Discus Throw,Kai Chang,Finals,2,61.79m,7.0,
Class 1,High Jump,Andrew Betton,Preliminaries,1,2.00mq,0.0,
Class 1,High Jump,Andrew Betton,Finals,8,1.95m,1.0,
Class 1,High Jump,Ricardo Clarke,Preliminaries,1,2.00mq,0.0,
Class 1,High Jump,Ricardo Clarke,Finals,2,2.10m,7.0,
Class 1,Long Jump,Alexander Thompson,Preliminaries,2,7.31mq,0.0,
Class 1,Long Jump,Alexander Thompson,Finals,2,7.56m,7.0,0.1
Class 1,Long Jump,Daniel Allen,Preliminaries,4,7.03mq,0.0,
Class 1,Long Jump,Daniel Allen,Finals,7,6.91m,2.0,0.3
Class 1,Shot Put,Deandre Leith,Preliminaries,1,16.42mq,0.0,
Class 1,Shot Put,Deandre Leith,Finals,5,17.80m,4.0,
Class 1,Shot Put,Kai Chang,Preliminaries,3,15.67mq,0.0,
Class 1,Shot Put,Kai Chang,Finals,10,15.36m,0.0,
Class 1,Triple Jump,Daniel Allen,Finals,6,14.57m,3.0,0.4
Class 1,Triple Jump,Richard Campbell,Finals,11,13.73m,0.0,
Class 2,100 Meter Dash,Jeffery Barron,Preliminaries,2,11.05Q,0.0,
Class 2,100 Meter Dash,Jeffery Barron,Semi-Finals,4,11.10,0.0,
Class 2,100 Meter Dash,Taraj Smith,Preliminaries,3,10.98q,0.0,
Class 2,100 Meter Dash,Taraj Smith,Semi-Finals,4,11.00,0.0,
Class 2,110 Meter Hurdles,Jerome Campbell,Preliminaries,3,14.28q,0.0,
