Class,Event,Athlete,Round,Rank,Mark,Points,Wind
Class 1,100 Meter Dash,Michali Everett,Preliminaries,1,10.42Q,0.0,
Class 1,100 Meter Dash,Michali Everett,Semi-Finals,1,10.44Q,0.0,
Class 1,100 Meter Dash,Michali Everett,Finals,6,10.46,3.0,
Class 1,100 Meter Dash,Ryiem Robertson,Preliminaries,1,10.59Q,0.0,
Class 1,100 Meter Dash,Ryiem Robertson,Semi-Finals,1,10.45Q,0.0,
Class 1,100 Meter Dash,Ryiem Robertson,Finals,2,10.28,7.0,
Class 1,110 Meter Hurdles,Oquendo Bernard,Preliminaries,2,14.26Q,0.0,
Class 1,110 Meter Hurdles,Oquendo Bernard,Finals,7,13.87,2.0,-0.8
Class 1,110 Meter Hurdles,Phillip Lemonios,Preliminaries,3,13.84q,0.0,
Class 1,110 Meter Hurdles,Phillip Lemonios,Finals,5,13.70,4.0,-0.8
Class 1,1500 Meter Run,Detroy Stewart,Preliminaries,7,4:20.22,0.0,
Class 1,1500 Meter Run,Rackeem Davis,Preliminaries,5,4:05.26q,0.0,
Class 1,1500 Meter Run,Rackeem Davis,Finals,12,4:09.90,0.0,
Class 1,200 Meter Dash,Colby Jennings,Preliminaries,1,21.34Q,0.0,
Class 1,200 Meter Dash,Colby Jennings,Semi-Finals,4,21.37,0.0,
Class 1,200 Meter Dash,Ryiem Robertson,Preliminaries,1,21.21Q,0.0,
Class 1,200 Meter Dash,Ryiem Robertson,Semi-Finals,2,20.95Q,0.0,
Class 1,200 Meter Dash,Ryiem Robertson,Finals,3,21.12,6.0,0.0
Class 1,400 Meter Dash,Colby Jennings,Preliminaries,1,48.06Q,0.0,
Class 1,400 Meter Dash,Colby Jennings,Semi-Finals,3,47.01q,0.0,
Class 1,400 Meter Dash,Colby Jennings,Finals,5,46.73,4.0,
Class 1,400 Meter Dash,Rasheed Fasanya,Preliminaries,3,49.56q,0.0,
Class 1,400 Meter Dash,Rasheed Fasanya,Semi-Finals,6,48.90,0.0,
Class 1,400 Meter Hurdles,Phillip Lemonios,Preliminaries,2,52.08Q,0.0,
Class 1,400 Meter Hurdles,Phillip Lemonios,Finals,4,51.41,5.0,
Class 1,4x100 Meter Relay,Chislon Gordon,Preliminaries,1,40.41Q,0.0,
Class 1,4x100 Meter Relay,Chislon Gordon,Finals,3,40.01,8.0,
Class 1,4x100 Meter Relay,Delann Henry,Preliminaries,1,40.41Q,0.0,
Class 1,4x100 Meter Relay,Delann Henry,Finals,3,40.01,8.0,
Class 1,4x100 Meter Relay,Malik Shepherd,Preliminaries,1,40.41Q,0.0,
Class 1,4x100 Meter Relay,Malik Shepherd,Finals,3,40.01,8.0,
Class 1,4x100 Meter Relay,Ryiem Robertson,Preliminaries,1,40.41Q,0.0,
Class 1,4x100 Meter Relay,Ryiem Robertson,Finals,3,40.01,8.0,
Class 1,800 Meter Run,Dugion Blackman,Preliminaries,2,1:58.44Q,0.0,
Class 1,800 Meter Run,Dugion Blackman,Semi-Finals,2,1:53.14Q,0.0,
Class 1,800 Meter Run,Dugion Blackman,Finals,4,1:50.86,5.0,
Class 1,800 Meter Run,Ken Reyes,Preliminaries,2,1:56.75Q,0.0,
Class 1,800 Meter Run,Ken Reyes,Semi-Finals,3,1:53.51q,0.0,
Class 1,800 Meter Run,Ken Reyes,Finals,2,1:50.28,7.0,
Class 1,Discus Throw,Douglas Cyrus,Preliminaries,3,51.79mq,0.0,
Class 1,Discus Throw,Douglas Cyrus,Finals,4,54.56m,5.0,
Class 1,Discus Throw,Travis Robinson,Preliminaries,8,39.84m,0.0,
Class 1,High Jump,Malik Cunningham,Preliminaries,6,1.95mq,0.0,
Class 1,High Jump,Malik Cunningham,Finals,10,1.90m,0.0,
Class 1,High Jump,Wikenson Fenelon,Preliminaries,7,1.90m,0.0,
Class 1,Long Jump,Paketo Dudley,Preliminaries,6,6.72m,0.0,
Class 1,Long Jump,Safin Wills,Preliminaries,1,7.32mq,0.0,
Class 1,Long Jump,Safin Wills,Finals,4,7.22m,5.0,0.1
Class 1,Shot Put,Douglas Cyrus,Preliminaries,6,14.52mq,0.0,
Class 1,Shot Put,Douglas Cyrus,Finals,12,13.07m,0.0,
Class 1,Shot Put,Travis Robinson,Preliminaries,3,15.76mq,0.0,
Class 1,Shot Put,Travis Robinson,Finals,11,13.28m,0.0,
Class 1,Triple Jump,Malik Cunningham,Finals,1,15.59m,9.0,-0.6
Class 1,Triple Jump,Safin Wills,Finals,2,15.57m,7.0,-0.6
Class 2,100 Meter Dash,Anthony Haslam,Preliminaries,2,10.95Q,0.0,
